投诉编号,投诉品牌,品牌车系,投诉车型,问题描述,典型问题,投诉时间,投诉状态
487451,奇瑞汽车,捷途X70,2018款 1.5T 手动 悦行版,捷途X70雨刮器喷水角度太低4S店拒赔,车身附件及电器雨刮器故障服务态度不予索赔,2020-06-23,处理反馈
487448,吉利汽车,星越,2019款 350T 耀星者,吉利星越起步时变速箱顿挫换挡不顺畅,变速器顿挫变速器无法换挡销售欺诈与宣传不符其他疑似减配,2020-06-23,处理反馈
487447,广汽讴歌,讴歌CDX,2016款 1.5T 两驱尊享版,广汽讴歌CDX经销商销售维修过的问题车,销售欺诈出售问题车销售欺诈出售库存车,2020-06-23,信息审核
487442,上汽集团,名爵6,2017款 20T 手动 豪华智联版 国V,上汽名爵6离合器打滑踏板脱落4S店不保修,离合器打滑离合器松动服务态度不予索赔,2020-06-23,厂家受理
487436,一汽-大众,迈腾,2016款 1.8TSI 智享领先型,一汽大众迈腾变速箱异响抖动顿挫,变速器异响变速器顿挫变速器抖动,2020-06-23,信息审核
487434,东风电动轻卡,EV300,ev300,东风电动轻卡EV300续航里程不准确行驶断电,发动机电驱动控制器故障车身附件及电器续航里程不准,2020-06-23,信息审核
487428,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放发动机舱进泥浆,其他疑似设计缺陷,2020-06-23,信息审核
487427,吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越新车简配雾灯和挡位灯与宣传不符,销售欺诈与宣传不符,2020-06-23,处理反馈
487426,东风日产,逍客,2017款 2.0L CVT 智享版 国V,东风日产逍客变速箱漏油有明显顿挫感,变速器顿挫变速器漏油,2020-06-23,信息审核
487423,吉利汽车,帝豪GS,2018款 1.4T 手动 运动版 领尚型,吉利帝豪GS挂挡困难 变速箱顿挫,变速器顿挫变速器无法换挡,2020-06-23,信息审核
487422,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯白雾不透亮影响使用,车身附件及电器车灯不亮,2020-06-23,信息审核
